id_venda,id_cliente,id_produto,quantidade,data_venda
V0315,C0660,P0684,7,2025-03-20
V0316,C0263,P0065,4,2024-05-07
V0317,C0750,P1018,5,2024-09-02
V0318,C0609,P0024,5,2024-10-30
V0319,C0935,P1305,10,2025-02-10
V0320,C0285,P0106,3,2024-04-12
V0321,C0962,P1941,10,2024-01-02
V0322,C0946,P1575,1,2024-12-20
V0323,C0374,P0162,5,2024-10-07
V0324,C0812,P0394,1,2025-03-14
V0325,C0364,P1321,2,2025-04-07
V0326,C0917,P1727,7,2024-01-24
V0327,C0281,P0108,3,2024-04-13
V0328,C0899,P1744,9,2024-06-02
V0329,C0751,P0966,10,2024-11-04
V0330,C0535,P0392,9,2024-11-10
V0331,C0327,P0540,8,2025-03-23
V0332,C0492,P0293,10,2025-04-28
V0333,C0521,P0915,4,2024-02-24
V0334,C0033,P0951,8,2024-09-22
V0335,C0425,P1213,3,2025-03-01
V0336,C0340,P1650,4,2024-02-01
V0337,C0037,P0230,6,2025-01-08
V0338,C0829,P0908,10,2024-07-02
V0339,C0605,P1015,2,2025-01-23
V0340,C0991,P1934,6,2024-03-28
V0341,C0113,P1747,2,2024-01-10
V0342,C0948,P1799,2,2024-06-22
V0343,C0336,P1178,2,2025-05-16
V0344,C0154,P0396,3,2024-01-09
V0345,C0396,P1106,5,2024-07-02
V0346,C0358,P1484,6,2024-12-21
V0347,C0941,P1623,7,2025-03-01
V0348,C0836,P1336,8,2024-02-10
V0349,C0592,P0543,5,2024-11-23
V0350,C0342,P1171,2,2024-05-30
V0351,C0803,P0132,2,2024-07-06
V0352,C0702,P0835,9,2024-04-09
V0353,C0460,P0555,7,2024-01-05
V0354,C0311,P0388,2,2024-10-02
V0355,C0377,P0497,9,2024-01-24
V0356,C0101,P0864,6,2024-04-27
V0357,C0752,P0695,2,2025-01-14
V0358,C0761,P1105,10,2024-07-12
V0359,C0790,P0246,7,2025-01-12
V0360,C0047,P1053,6,2024-06-15
V0361,C0049,P1539,5,2024-10-08
V0362,C0042,P1439,2,2024-01-11
V0363,C0089,P1915,2,2024-10-06
V0364,C0721,P0407,5,2025-04-27
V0365,C0304,P0710,5,2024-01-18
V0366,C0594,P1489,7,2024-12-13
V0367,C0660,P1923,1,2024-08-02
V0368,C0764,P0807,7,2025-04-08
V0369,C0565,P0330,9,2024-06-08
V0370,C0125,P0127,9,2024-12-22
V0371,C0018,P1938,3,2025-01-31
V0372,C0917,P0394,3,2024-07-17
V0373,C0331,P1974,4,2024-12-24
V0374,C0855,P0090,8,2024-05-11
V0375,C0229,P1317,6,2025-05-17
V0376,C0444,P1985,6,2024-02-16
V0377,C0958,P1171,9,2024-02-04
V0378,C0165,P0745,3,2025-04-08
V0379,C0553,P0449,4,2025-04-16
V0380,C0600,P0936,2,2024-06-13
V0381,C0674,P0032,9,2024-11-02
V0382,C0163,P0813,4,2024-02-22
V0383,C0209,P0627,6,2024-03-15
V0384,C0984,P1155,1,2024-05-21
V0385,C0899,P1955,7,2024-01-02
V0386,C0154,P0347,10,2024-09-18
V0387,C0157,P0173,5,2024-10-11
V0388,C0810,P1222,5,2024-04-07
V0389,C0638,P1320,10,2025-02-28
V0390,C0868,P0213,6,2024-10-17
V0391,C0061,P0870,9,2025-04-03
V0392,C0348,P0256,8,2025-04-07
V0393,C0036,P0230,10,2024-12-24
V0394,C0872,P1650,3,2024-12-23
V0395,C0773,P1933,7,2024-11-18
V0396,C0693,P1330,10,2024-10-31
V0397,C0547,P1569,4,2024-11-06
V0398,C0328,P0278,3,2025-05-30
V0399,C0772,P0143,10,2025-05-20
V0400,C0775,P0437,7,2024-05-06
V0401,C0536,P1597,5,2024-10-21
V0402,C0268,P1942,10,2024-12-15
V0403,C0686,P0993,6,2024-12-05
V0404,C0127,P0487,10,2024-09-27
V0405,C0297,P0568,2,2025-04-13
V0406,C0460,P0094,8,2024-03-31
V0407,C0552,P0135,9,2025-04-24
V0408,C0699,P1661,4,2024-06-06
V0409,C0074,P1102,8,2024-05-01
V0410,C0590,P0599,4,2024-08-24
V0411,C0880,P1451,6,2024-02-09
V0412,C0383,P0057,2,2024-08-02
V0413,C0698,P0183,6,2024-08-29
V0414,C0550,P1074,5,2024-01-16
V0415,C0684,P1641,9,2024-06-01
V0416,C0950,P1500,2,2025-01-11
V0417,C0388,P1480,2,2025-02-28
V0418,C0166,P1665,7,2024-05-18
V0419,C0410,P1549,5,2024-12-23
V0420,C0114,P0592,1,2025-05-03
V0421,C0127,P0932,6,2024-01-22
V0422,C0314,P1977,5,2024-09-16
V0423,C0391,P1205,8,2024-08-20
V0424,C0442,P1598,6,2024-07-02
V0425,C0236,P1797,8,2024-09-27
V0426,C0102,P1617,1,2024-06-21
V0427,C0022,P0940,1,2024-08-02
V0428,C0934,P0337,8,2025-05-13
V0429,C0948,P1023,6,2025-05-17
V0430,C0606,P0495,8,2024-05-15
V0431,C0304,P1130,7,2025-02-02
V0432,C0141,P0588,4,2024-10-27
V0433,C0336,P1892,6,2025-04-28
V0434,C0342,P1859,2,2025-05-21
V0435,C0289,P0588,3,2024-02-03
V0436,C0015,P1497,9,2025-03-25
V0437,C0763,P1840,5,2024-05-23
V0438,C0937,P0187,7,2024-04-25
V0439,C0153,P0458,1,2024-11-05
V0440,C0341,P1630,4,2024-01-08
V0441,C0566,P1102,10,2024-09-25
V0442,C0268,P0782,7,2025-01-21
V0443,C0454,P1448,1,2024-08-28
V0444,C0284,P1409,4,2024-12-22
V0445,C0516,P0083,10,2025-01-24
V0446,C0449,P0187,6,2024-03-11
V0447,C0847,P1509,6,2024-09-23
V0448,C0794,P0269,3,2024-12-07
V0449,C0145,P1233,1,2024-07-12
V0450,C0997,P1503,3,2024-12-27
V0451,C0003,P1438,2,2025-05-11
V0452,C0359,P0371,2,2024-08-06
V0453,C0305,P1150,7,2025-05-05
V0454,C0062,P0991,10,2024-01-27
V0455,C0186,P0608,4,2024-07-26
V0456,C0981,P1799,8,2024-10-19
V0457,C0735,P1087,10,2024-08-06
V0458,C0941,P0254,1,2024-09-22
V0459,C0607,P1524,1,2025-04-27
V0460,C0717,P1829,5,2025-04-26
V0461,C0626,P1307,6,2024-05-18
V0462,C0514,P0662,4,2024-06-13
V0463,C0807,P0853,8,2025-04-08
V0464,C0298,P1132,6,2024-10-08
V0465,C0920,P1597,4,2024-10-03
V0466,C0383,P1904,5,2024-06-24
V0467,C0238,P0176,10,2024-07-03
V0468,C0391,P0936,9,2024-07-19
V0469,C0366,P0290,1,2024-07-19
V0470,C0205,P0299,7,2025-01-30
V0471,C0076,P0450,10,2024-03-20
V0472,C0103,P1237,1,2025-02-10
V0473,C0187,P0861,3,2024-03-05
V0474,C0185,P1094,3,2024-01-11
V0475,C0947,P1981,5,2024-06-21
V0476,C0250,P1996,2,2024-04-12
V0477,C0208,P1390,2,2025-01-23
V0478,C0179,P0297,7,2024-11-19
V0479,C0629,P0148,2,2024-03-13
V0480,C0529,P1145,2,2024-03-31
V0481,C0089,P1973,4,2024-01-01
V0482,C0405,P1563,2,2025-05-27
V0483,C0559,P1544,7,2024-03-18
V0484,C0972,P0078,9,2024-07-20
V0485,C0871,P0202,2,2024-10-26
V0486,C0725,P1847,1,2024-07-03
V0487,C0553,P1214,5,2024-03-31
V0488,C0239,P0052,2,2025-03-14
V0489,C0276,P0870,5,2024-07-08
V0490,C0398,P0921,7,2024-07-04
V0491,C0317,P1627,5,2024-02-03
V0492,C0848,P0409,7,2024-11-23
V0493,C0951,P1785,9,2024-03-02
V0494,C0990,P0367,10,2024-08-08
V0495,C0358,P0700,9,2024-01-29
V0496,C0139,P1440,6,2024-01-04
V0497,C0477,P1870,2,2024-02-20
V0498,C0489,P0473,5,2024-12-23
V0499,C0435,P0232,4,2024-07-03
V0500,C0848,P1860,4,2024-08-05
V0501,C0201,P0378,2,2024-06-09
V0502,C0816,P1517,6,2024-10-23
V0503,C0817,P1409,1,2025-05-25
V0504,C0285,P0285,5,2025-04-03
V0505,C0015,P0216,3,2025-01-25
V0506,C0308,P1465,7,2024-01-04
V0507,C0583,P0525,7,2025-04-24
V0508,C0682,P1662,7,2024-07-25
V0509,C0848,P1894,4,2025-01-03
V0510,C0238,P1129,4,2025-04-01
V0511,C0828,P1551,5,2024-10-15
V0512,C0279,P1401,2,2024-02-13
V0513,C0834,P1977,8,2025-01-14
V0514,C0014,P0144,10,2025-04-18
V0515,C0210,P0177,9,2024-02-17
V0516,C0172,P0794,4,2025-01-14
V0517,C0620,P0713,7,2024-02-01
V0518,C0683,P1274,5,2024-02-09
V0519,C0967,P1790,6,2024-08-17
V0520,C0379,P0944,4,2024-12-24
V0521,C0879,P1315,1,2024-03-16
V0522,C0122,P1868,7,2025-03-10
V0523,C0156,P1465,9,2024-04-09
V0524,C0536,P0742,7,2024-08-21
V0525,C0361,P1468,4,2024-04-25
V0526,C0741,P0200,4,2025-04-07
V0527,C0999,P1371,8,2024-09-20
V0528,C0637,P0886,5,2024-06-20
V0529,C0133,P0733,7,2024-02-14
V0530,C0508,P1987,8,2024-11-12
V0531,C0855,P1138,4,2024-11-08
V0532,C0820,P0888,1,2024-10-01
V0533,C0196,P0184,7,2024-01-21
V0534,C0341,P0734,3,2024-09-18
V0535,C0492,P0721,4,2025-03-19
V0536,C0723,P0455,6,2025-03-12
V0537,C0707,P1013,6,2024-07-07
V0538,C0561,P1663,9,2025-05-18
V0539,C0953,P1142,5,2024-05-26
V0540,C0242,P1731,1,2025-01-07
V0541,C0497,P0536,2,2024-09-01
V0542,C0890,P0763,7,2024-01-29
V0543,C0725,P0572,5,2024-05-25
V0544,C0317,P1087,5,2024-11-04
V0545,C0363,P0107,8,2024-09-20
V0546,C0875,P0476,2,2024-01-24
V0547,C0415,P1866,3,2025-05-17
V0548,C0582,P0901,5,2024-04-13
V0549,C0531,P0790,8,2025-02-27
V0550,C0191,P1192,8,2024-09-23
V0551,C0383,P0164,3,2025-01-19
V0552,C0663,P0041,2,2025-05-11
V0553,C0122,P1120,4,2024-06-22
V0554,C0514,P0541,1,2024-05-02
V0555,C0551,P1227,5,2024-10-22
V0556,C0400,P0315,1,2024-06-01
V0557,C0616,P0355,5,2024-05-09
V0558,C0518,P0103,1,2024-02-10
V0559,C0921,P0129,5,2025-03-06
V0560,C0249,P0226,9,2024-07-16
V0561,C0438,P0024,10,2025-04-19
V0562,C0019,P1540,6,2024-02-22
V0563,C0211,P1284,6,2024-04-11
V0564,C0390,P1154,7,2024-06-18
V0565,C0988,P0864,1,2024-02-01
V0566,C0674,P1737,3,2024-08-24
V0567,C0086,P0705,5,2024-04-07
V0568,C0451,P1441,2,2024-01-28
V0569,C0183,P0225,6,2024-04-26
V0570,C0584,P0241,5,2024-09-18
V0571,C0093,P0280,7,2024-08-10
V0572,C0776,P1006,5,2024-11-11
V0573,C0831,P0931,4,2025-02-17
V0574,C0732,P0094,5,2024-09-06
V0575,C0794,P1720,1,2024-03-11
V0576,C0917,P1440,4,2024-08-13
V0577,C0803,P0256,7,2025-05-25
V0578,C0710,P1086,1,2025-03-27
V0579,C0401,P1667,3,2024-10-21
V0580,C0385,P0765,1,2025-01-10
V0581,C0485,P0942,2,2024-10-01
V0582,C0371,P0582,7,2025-01-06
V0583,C0013,P1907,3,2024-08-22
V0584,C0281,P0527,10,2024-04-05
V0585,C0218,P0956,3,2024-03-16
V0586,C0813,P0262,10,2024-06-20
V0587,C0989,P1996,1,2024-10-29
V0588,C0083,P1970,7,2024-03-31
V0589,C0949,P1035,4,2024-10-03
V0590,C0552,P1632,9,2024-01-15
V0591,C0217,P0088,8,2024-11-23
V0592,C0179,P0303,7,2024-03-14
V0593,C0080,P0537,2,2025-01-22
V0594,C0450,P1778,3,2024-01-09
V0595,C0084,P1705,6,2024-10-16
V0596,C0557,P1179,4,2025-01-08
V0597,C0229,P0873,6,2024-04-10
V0598,C0218,P1163,1,2024-03-10
V0599,C0466,P1424,5,2025-04-11
V0600,C0409,P0567,3,2024-02-21
V0601,C0278,P0344,9,2024-07-19
V0602,C0485,P1726,4,2024-07-19
V0603,C0681,P0487,3,2025-03-28
V0604,C0538,P1265,9,2025-02-10
V0605,C0362,P0423,4,2024-09-18
V0606,C0178,P0470,7,2025-05-07
V0607,C0472,P1443,4,2024-06-19
V0608,C0640,P1184,8,2024-08-06
V0609,C0590,P0265,4,2024-08-07
V0610,C0773,P1180,7,2024-11-30
V0611,C0478,P0165,10,2025-05-02
V0612,C0524,P0027,7,2024-06-29
V0613,C0237,P0753,10,2024-08-08
V0614,C0688,P0346,9,2024-06-26
V0615,C0060,P0490,5,2024-09-11
V0616,C0494,P1502,4,2025-02-02
V0617,C0165,P1756,6,2024-04-11
V0618,C0144,P1163,6,2024-03-30
V0619,C0773,P1845,7,2024-02-24
V0620,C0436,P1850,8,2024-02-20
V0621,C0878,P0769,3,2024-11-30
V0622,C0006,P1849,3,2024-01-19
V0623,C0986,P0218,9,2024-11-29
V0624,C0298,P0558,4,2024-07-21
V0625,C0701,P1636,4,2025-05-29
V0626,C0782,P0557,3,2024-09-29
V0627,C0558,P0120,8,2025-01-17
V0628,C0044,P1876,3,2024-10-17
V0629,C0880,P1860,3,2024-11-12
V0630,C0582,P1783,6,2024-03-29
V0631,C0703,P1609,10,2025-03-19
V0632,C0594,P0479,10,2024-01-26
V0633,C0874,P1412,1,2025-03-11
V0634,C0314,P0254,4,2024-11-19
V0635,C0609,P1091,4,2025-02-24
V0636,C0171,P0738,7,2024-04-11
V0637,C0240,P1360,2,2024-03-20
V0638,C0318,P0422,5,2025-01-27
V0639,C0834,P0820,4,2024-06-06
V0640,C0743,P0268,7,2024-09-06
V0641,C0651,P1695,1,2024-11-18
V0642,C0375,P1091,4,2025-01-10
V0643,C0666,P0333,8,2024-10-14
V0644,C0965,P1465,6,2024-03-13
V0645,C0988,P0103,9,2024-02-05
V0646,C0006,P0956,7,2024-05-02
V0647,C0067,P0665,10,2025-04-10
V0648,C0518,P1764,9,2024-04-12
V0649,C0129,P1953,7,2025-05-11
V0650,C0871,P1851,10,2024-04-12
V0651,C0417,P0128,2,2025-03-27
V0652,C0944,P1012,4,2024-07-12
V0653,C0613,P1309,8,2024-07-08
V0654,C0395,P0708,4,2024-09-30
V0655,C0200,P0235,9,2025-02-26
V0656,C0058,P1624,8,2024-02-06
V0657,C0076,P0876,5,2024-05-18
V0658,C0733,P0778,4,2024-03-28
V0659,C0318,P0938,6,2024-09-28
V0660,C0728,P1892,4,2024-11-21
V0661,C0065,P1902,10,2025-01-11
V0662,C0166,P0889,9,2024-10-05
V0663,C0797,P0121,9,2024-06-18
V0664,C0030,P0579,9,2025-01-12
